ts;event_type;action;summary;modul;status;provider;model;token_in;token_out;duration_ms
2026-03-27T17:36:42.152;kira;mail_classified;💡 Wichtige Infos zu Aufbewahrungsfristen, Betriebsprüfung leicht gemacht mit Lexware Office, Fristen;mail_monitor;ok;;;;;
2026-03-27T17:36:42.047;kira;mail_classified;Ihr Angebot von rauMKult Sichtbeton A-SB260094;mail_monitor;ok;;;;;
2026-03-27T17:36:29.543;kira;mail_classified;Re: AW: AW: Fwd:;mail_monitor;ok;;;;;
2026-03-27T17:36:29.482;kira;mail_classified;Re: AW: Fwd:;mail_monitor;ok;;;;;
2026-03-27T17:36:29.425;kira;mail_classified;Fwd:;mail_monitor;ok;;;;;
2026-03-27T17:36:25.722;kira;mail_classified;AW: Ihr Angebot von rauMKult Sichtbeton A-SB260094;mail_monitor;ok;;;;;
2026-03-27T17:36:25.669;kira;mail_classified;Ihr Angebot von rauMKult Sichtbeton A-SB260094;mail_monitor;ok;;;;;
2026-03-27T17:36:25.525;kira;mail_classified;Rechnung RE-SB260102 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:36:25.480;kira;mail_classified;Rechnung RE-SB260101 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:36:25.427;kira;mail_classified;Abschlagsrechnung RE-SB260099 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:36:25.378;kira;mail_classified;Auftragsbestätigung AB-SB260120 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:36:25.331;kira;mail_classified;Abschlagsrechnung RE-SB260099 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:36:25.275;kira;mail_classified;Ihr Angebot von rauMKult Sichtbeton A-SB260093;mail_monitor;ok;;;;;
2026-03-27T17:36:25.215;kira;mail_classified;Ihr Angebot von rauMKult Sichtbeton A-SB260092;mail_monitor;ok;;;;;
2026-03-27T17:36:25.101;kira;mail_classified;Fwd: 240613 Sp0299 Gb-MB Säulen bearbeiten ;mail_monitor;ok;;;;;
2026-03-27T17:36:24.096;kira;mail_classified;Rechnung RE-SB260098 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:36:24.051;kira;mail_classified;Rechnung RE-SB250096 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:36:23.966;kira;mail_classified;Rechnung RE-SB260097 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:36:23.912;kira;mail_classified;Rechnung RE-SB260097 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:36:23.865;kira;mail_classified;Rechnung RE-SB250095 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:36:23.822;kira;mail_classified;Rechnung RE-SB250095 von rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:36:15.885;ui;kira_workspace_open;Kira Workspace geoeffnet;ui;ok;;;;;
2026-03-27T17:35:39.084;kira;mail_classified;Dein Wissens-Boost: Webinare im kommenden Monat;mail_monitor;ok;;;;;
2026-03-27T17:35:39.041;kira;mail_classified;rauMKult® Sichtbeton - Zahlung eingegangen;mail_monitor;ok;;;;;
